"instructors","course","dept","passFailRatio2020","passFailRatio2021","passFailRatio2022","passFailRatio2023","Trend"
"TSAI G T","ME       10","ME",0.894736842105263,0.784313725490196,0.847222222222222,0.793103448275862,"Slight Downward"
"STOYAN T","MCDB    187","MCDB",1,1,1,1,"Strong Upward"
"WEIMBS T","MCDB    187","MCDB",1,1,1,1,"Strong Upward"
"FEINSTEIN S C","MCDB    153","MCDB",0.875,0.482758620689655,0.38961038961039,0.596491228070175,"Slight Downward"
"CLEGG D O","MCDB    146","MCDB",1,1,1,1,"Strong Upward"
"SMITH W","MCDB    140L","MCDB",0.933333333333333,0.875,1,1,"Slight Upward"
"LOW S H","MCDB    139","MCDB",0.797297297297297,0.818181818181818,0.588235294117647,0.579710144927536,"Slight Downward"
"WILTON M B","MCDB    110","MCDB",0.705882352941177,0.91044776119403,0.825242718446602,0.700787401574803,"Slight Downward"
"LEW G J","MCDB    109L","MCDB",1,1,0.833333333333333,1,"Slight Upward"
"LOUIS M R","MCDB    108C","MCDB",0.866666666666667,0.933333333333333,0.852272727272727,0.855555555555556,"Slight Upward"
"GONZALEZ NINO","MCDB      1A","MCDB",0.363636363636364,0.572727272727273,0.542056074766355,0.659090909090909,"Slight Upward"
"DENBAARS S P","MATRL   227","MATRL",1,1,1,1,"Strong Upward"
"VAN DER VEN A","MATRL   200C","MATRL",0.9375,1,1,1,"Strong Upward"
"ZHANG YITANG","MATH    115B","MATH",0.35,0.5,0.666666666666667,0.636363636363636,"Slight Upward"
"YANG XU","MATH    104C","MATH",0.919540229885057,0.833333333333333,0.914285714285714,0.846153846153846,"Slight Downward"
"OGRAIN C M","MATH    101B","MATH",0.928571428571429,0.631578947368421,0.5,0.384615384615385,"Strong Downward"
"KENNEDY R A","LING     15","LING",0.905172413793103,0.91578947368421,0.83248730964467,0.833333333333333,"Slight Upward"
"LINDHEIM S H","LATIN     3","LATIN",0.888888888888889,0.909090909090909,0.916666666666667,0.875,"Slight Upward"
"LEE W A","KOR       6","KOR",0.75,0.857142857142857,1,0.666666666666667,"Slight Upward"
"LEE W A","KOR       3","KOR",0.866666666666667,1,0.636363636363636,0.769230769230769,"Slight Upward"
"JAMIESON A E","INT     186AS","INT",1,1,1,1,"Strong Upward"
"CAMPO J E","INT      94QD","INT",1,1,1,1,"Strong Upward"
"CASTILLO J L","INT      89AG","INT",1,1,1,1,"Strong Upward"
"GRASSET MOREL","INT      89AG","INT",1,1,1,1,"Strong Upward"
"HOFMANN M J","GER     114","GER",0.875,1,1,0.9,"Slight Upward"
"WHITE K D","GER     101C","GER",0.91304347826087,1,1,0.666666666666667,"Slight Upward"
"HOFMANN M J","GER       8C","GER",0.9,1,1,0.9,"Slight Upward"
"REDER E R","GER       6","GER",1,1,1,1,"Strong Upward"
"DING Q","GEOG    210C","GEOG",1,1,1,1,"Strong Upward"
"LOAICIGA H","GEOG    162","GEOG",0.444444444444444,0.6,0.6,0.375,"Slight Upward"
"GOULIAS K","GEOG    111C","GEOG",1,1,0.96551724137931,0.884615384615385,"Slight Downward"
"CASSELS S L","GEOG      6","GEOG",0.765625,0.74,0.782608695652174,0.654411764705882,"Slight Downward"
"PHILLIPS M E","FR      104F","FR",0.909090909090909,1,1,1,"Strong Upward"
"PHILLIPS M E","FR       11B","FR",1,1,1,1,"Strong Upward"
"PENLEY C","FAMST   154PG","FAMST",0.9,1,1,0.92,"Slight Upward"
"CALDWELL S","FAMST   104","FAMST",0.888888888888889,0.954545454545455,0.939393939393939,0.80952380952381,"Slight Downward"
"BRUSUTTI A","FAMST    46","FAMST",0.804123711340206,0.8125,0.847619047619048,0.761061946902655,"Slight Upward"
"HATCHER K L","ESS     160","ESS",0.942857142857143,0.882352941176471,0.56,0.918918918918919,"Slight Downward"
"JAMIESON A E","ESS     150","ESS",0.902439024390244,0.756756756756757,0.772727272727273,0.833333333333333,"Slight Upward"
"HATCHER K L","ESS     140","ESS",1,0.882352941176471,0.842105263157895,0.846153846153846,"Slight Downward"
"HATCHER K L","ESS     132","ESS",1,0.916666666666667,0.918918918918919,0.944444444444444,"Slight Upward"
"SLADE A M","ESS     131","ESS",0.853658536585366,0.727272727272727,0.84375,0.878787878787879,"Slight Upward"
"ORLANDO M D","ESS     130","ESS",0.972972972972973,0.857142857142857,1,1,"Slight Upward"
"ORLANDO M D","ESS     100","ESS",0.955555555555556,1,1,0.972222222222222,"Slight Upward"
"SLADE A M","ESS       9","ESS",0.903225806451613,0.88,0.777777777777778,0.818181818181818,"Slight Downward"
"GEYER R","ESM     282","ESM",1,1,1,1,"Strong Upward"
"STEVENSON-MIC","ESM     237","ESM",1,1,1,1,"Strong Upward"
"TAGUE C","ESM     232","ESM",1,1,1,1,"Strong Upward"
"KELLER A A","ESM     222","ESM",1,1,1,1,"Strong Upward"
"SALZMAN J E","ESM     207","ESM",0.961538461538462,1,1,1,"Strong Upward"
"COSTELLO C J","ESM     204","ESM",1,1,1,0.953488372093023,"Slight Upward"
"STUMPF P A","ES   1-  48","ES",1,1,1,1,"Strong Upward"
"WIGO W N","ES   1-  45","ES",1,1,1,1,"Strong Upward"
"JAMIESON A E","ES   1-  43D","ES",1,1,1,1,"Strong Upward"
"FLEMING C K","ES   1-  42","ES",1,1,1,1,"Strong Upward"
"SILVA M M","ES   1-  17","ES",1,1,1,1,"Strong Upward"
"BARIL D J","ES   1-  15B","ES",1,1,1,1,"Strong Upward"
"ZIMMERMAN E D","ENV S   190","ENV",1,1,1,1,"Strong Upward"
"MALDONADO J K","ENV S   186","ENV",1,0.818181818181818,0.8,0.909090909090909,"Slight Downward"
"LOAICIGA H","ENV S   162","ENV",0.833333333333333,0.5,0.888888888888889,0.571428571428571,"Slight Downward"
"DESHMUKH R A","ENV S   105","ENV",0.772151898734177,0.836734693877551,0.857142857142857,0.857142857142857,"Strong Upward"
"MARTIN J A","ENV S     3H","ENV",1,1,1,1,"Strong Upward"
"MARTIN J A","ENV S     3","ENV",0.878220140515222,0.841397849462366,0.872159090909091,0.914357682619647,"Slight Upward"
"HOUGH K C","ENGR    101","ENGR",0.878048780487805,0.878048780487805,0.9,0.863636363636364,"Slight Upward"
"PETZOLD L","ENGR      3","ENGR",0.866666666666667,0.741935483870968,0.817204301075269,0.913978494623656,"Slight Upward"
"RANA S","ENGL     50","ENGL",0.922413793103448,0.97979797979798,0.981132075471698,0.888888888888889,"Slight Upward"
"LIU A Y","ENGL     25","ENGL",0.782051282051282,0.690140845070423,0.884057971014493,0.674418604651163,"Slight Downward"
"EVEN T J","EEMB W   22","EEMB",0.173913043478261,0.375,0.277777777777778,0.161290322580645,"Slight Downward"
"MCCAULEY D J","EEMB    190","EEMB",1,1,1,1,"Strong Upward"
"YOUNG H S","EEMB    190","EEMB",1,1,1,1,"Strong Upward"
"PROULX S R","EEMB    180","EEMB",1,0.888888888888889,0.9,0.958333333333333,"Slight Upward"
"EVEN T J","EEMB    148","EEMB",0.297872340425532,0.323529411764706,0.381818181818182,0.484848484848485,"Strong Upward"
"STIER A C","EEMB    142CL","EEMB",1,1,1,1,"Strong Upward"
"STIER A C","EEMB    142C","EEMB",1,1,0.833333333333333,0.981818181818182,"Slight Upward"
"TURNER T L","EEMB    116","EEMB",0.666666666666667,0.689655172413793,0.755102040816326,0.773584905660377,"Strong Upward"
"OAKLEY T H","EEMB    102","EEMB",0.954545454545455,0.814814814814815,0.94,0.916666666666667,"Slight Downward"
"LATTO J G","EEMB     50","EEMB",0.25,0.901960784313726,0.829787234042553,0.780487804878049,"Slight Downward"
"HODGES S A","EEMB      3","EEMB",0.924119241192412,0.908011869436202,0.9164265129683,0.762463343108504,"Slight Downward"
"NGUYEN A T","EEMB      3","EEMB",0.924119241192412,0.908011869436202,0.9164265129683,0.762463343108504,"Slight Downward"
"WHITAKER D R","ED   LA 320W","ED",1,1,1,1,"Strong Upward"
"LEE J S","ED      253D","ED",1,1,1,1,"Strong Upward"
"FEDDERS A","ED      228J","ED",1,1,1,1,"Strong Upward"
"OGRAIN C M","ED      135","ED",1,0.875,1,0.8,"Slight Downward"
"BLACKWELL K S","ED      121","ED",1,0.75,0.75,0.875,"Slight Upward"
"PARKER E T","ED       20","ED",0.655172413793103,0.823529411764706,0.966666666666667,0.967741935483871,"Strong Upward"
"QIN C Z","ECON    210C","ECON",1,1,1,1,"Strong Upward"
"KULPER D E","ECON    189","ECON",0.787234042553192,0.846153846153846,0.837837837837838,0.84,"Slight Upward"
"HARMON C J","ECON    139","ECON",0.936170212765957,0.761904761904762,0.791666666666667,0.838709677419355,"Slight Upward"
"SCHNEIDER N J","ECON    138B","ECON",1,0.934782608695652,0.95,0.944444444444444,"Slight Downward"
"SCHNEIDER N J","ECON    138A","ECON",0.947368421052632,0.970149253731343,0.953488372093023,1,"Slight Upward"
"GROVER S R","ECON    137A","ECON",1,0.96969696969697,0.972222222222222,0.98,"Slight Upward"
"HARMON C J","ECON    136C","ECON",0.973684210526316,0.933333333333333,0.6,0.666666666666667,"Slight Downward"
"HULME J L","ECON    136C","ECON",0.95,0.709677419354839,0.387096774193548,0.513513513513513,"Slight Downward"
"HULME J L","ECON    136B","ECON",0.806818181818182,0.831168831168831,0.344086021505376,0.478260869565217,"Slight Upward"
"GROVER S R","ECON    136A","ECON",1,0.941176470588235,0.863636363636364,0.840909090909091,"Strong Downward"
"HARMON C J","ECON    136A","ECON",1,0.741935483870968,0.8,0.777777777777778,"Slight Downward"
"ANDERSON R W","ECON    132A","ECON",0.76,0.75,0.682926829268293,0.620689655172414,"Strong Downward"
"FULKERSON S D","ECON    132A","ECON",0.9,0.838709677419355,0.9375,0.866666666666667,"Slight Downward"
"KULPER D E","ECON    118H","ECON",1,1,1,1,"Strong Upward"
"KULPER D E","ECON    118","ECON",0.892857142857143,0.893939393939394,0.954545454545455,0.934426229508197,"Slight Upward"
"BENELLI C A","ECON    114A","ECON",0.941176470588235,0.8125,0.984375,0.941176470588235,"Slight Downward"
"EBENSTEIN A O","ECON    112A","ECON",1,0.983606557377049,0.92,0.88,"Strong Downward"
"EBENSTEIN A O","ECON    107B","ECON",0.96969696969697,0.929824561403509,0.948717948717949,0.890243902439024,"Slight Downward"
"QIN C Z","ECON    100B","ECON",0.916279069767442,0.853932584269663,0.73224043715847,0.681451612903226,"Strong Downward"
"FULKERSON S D","ECON      3B","ECON",0.676923076923077,0.7,0.724137931034483,0.615384615384615,"Slight Upward"
"ANDERSON R W","ECON      3AH","ECON",1,1,1,1,"Strong Upward"
"ANDERSON R W","ECON      3A","ECON",0.682795698924731,0.620915032679739,0.735294117647059,0.461538461538462,"Slight Downward"
"ISUKAPALLI Y","ECE     189C","ECE",0.95,0.947368421052632,0.954545454545455,1,"Slight Upward"
"LEE H","ECE     148","ECE",1,0.5,1,1,"Slight Upward"
"MISHRA U","ECE     142","ECE",1,1,1,1,"Strong Upward"
"SALEM L G","ECE     142","ECE",1,1,1,1,"Strong Upward"
"ROSE K","ECE     139","ECE",0.958333333333333,0.80952380952381,0.953125,0.916666666666667,"Slight Downward"
"DAGLI N","ECE     135","ECE",0.714285714285714,0.818181818181818,1,1,"Strong Upward"
"ALIZADEH M","ECE      10CL","ECE",0.928571428571429,0.861111111111111,0.925925925925926,1,"Slight Upward"
"ALIZADEH M","ECE      10C","ECE",0.92,0.8,0.728395061728395,0.771739130434783,"Slight Downward"
"TANIMOTO T","EARTH   135","EARTH",1,0.75,0.916666666666667,0.714285714285714,"Slight Downward"
"MOORE J","EARTH     7","EARTH",0.715151515151515,0.798913043478261,0.841463414634146,0.788235294117647,"Slight Upward"
"HUSTON V G","DANCE    47F","DANCE",0.666666666666667,0,1,1,"Slight Upward"
"PRESS C M","DANCE    45","DANCE",0.982352941176471,0.96045197740113,0.99375,0.985815602836879,"Slight Downward"
"BENNAHUM D","DANCE    36","DANCE",0.8375,0.771739130434783,0.757142857142857,0.865168539325843,"Slight Downward"
"METZGER M J","COMM    174","COMM",0.705882352941177,0.75,0.826086956521739,0.529411764705882,"Slight Upward"
"WANG R K","CMPTGCS  20","CMPTGCS",1,1,1,1,"Strong Upward"
"MATNI Z A","CMPSC   111","CMPSC",0.888888888888889,0.823529411764706,0.740740740740741,0.844827586206897,"Slight Downward"
"NGUYEN T T","CHEM    153","CHEM",1,1,0.888888888888889,1,"Slight Upward"
"LAVERMAN L E","CHEM    116BL","CHEM",0.793103448275862,0.75,0.844827586206897,0.948717948717949,"Slight Upward"
"METIU H I","CHEM    113C","CHEM",0.78,0.85,0.64,0.75609756097561,"Slight Upward"
"LIPSHUTZ B H","CHEM    109CH","CHEM",1,1,1,1,"Strong Upward"
"LEWIS R B","CHEM    109C","CHEM",0.979865771812081,0.913924050632911,0.684563758389262,0.865497076023392,"Slight Downward"
"GAINER M J","CHEM      6CL","CHEM",1,0.8,0.833333333333333,0.833333333333333,"Slight Upward"
"GAINER M J","CHEM      6BL","CHEM",0.738562091503268,0.771186440677966,0.766233766233766,0.882352941176471,"Slight Upward"
"GAINER M J","CHEM      6AL","CHEM",0.775147928994083,0.6875,0.752941176470588,0.797385620915033,"Slight Upward"
"JOSEPH C A","CHEM      1C","CHEM",0.544871794871795,0.55786350148368,0.582089552238806,0.594059405940594,"Strong Upward"
"PRICE S P","CHEM      1B","CHEM",0.330024813895782,0.276450511945392,0.249363867684478,0.211538461538462,"Strong Downward"
"HERNANDEZ E D","CH ST   183","CH",0.962962962962963,0.75,0.928571428571429,1,"Slight Upward"
"GARCIA S","CH ST   110","CH",0.95,0.95,1,1,"Strong Upward"
"DOHERTY M F","CH E    184B","CH",0.9,1,0.56,0.75,"Slight Upward"
"MCFARLAND E W","CH E    184B","CH",0.9,1,0.56,0.75,"Slight Upward"
"TAKATORI S","CH E    132A","CH",0.575757575757576,0.636363636363636,0.866666666666667,0.84375,"Slight Upward"
"DEY S S","CH E    120C","CH",0.833333333333333,0.764705882352941,0.703703703703704,0.8,"Slight Downward"
"LATTO J G","BIOL CS  30","BIOL",1,1,1,1,"Strong Upward"
"TYLER C M","BIOL CS  30","BIOL",1,1,1,1,"Strong Upward"
"HOWELL D A","ASTRO     2","ASTRO",0.641025641025641,0.590909090909091,0.765957446808511,0.651162790697674,"Slight Downward"
"BUSTO R V","AS AM    71","AS",0.962962962962963,0.96969696969697,0.875,0.763157894736842,"Slight Downward"
"CONNALLY D E","ART  CS 112","ART",1,1,1,1,"Strong Upward"
"CONNALLY D E","ART  CS 101","ART",1,1,1,1,"Strong Upward"
"FULBECK L K","ART     137","ART",0.75,1,0.875,1,"Slight Upward"
"BELTZ E A","ART     118","ART",1,1,0.8,1,"Slight Upward"
"BELTZ E A","ART     117","ART",0.5,1,0.75,0.818181818181818,"Slight Upward"
"TASCHIAN H J","ART       1A","ART",0.674418604651163,0.82,0.739130434782609,0.8125,"Slight Upward"
"SALDIVAR TANA","ANTH    195A","ANTH",0.875,1,1,0.8,"Slight Upward"
